Internals 	 minnodeR: 1 	 TSnode: 3 	 minnodeP: 5
Translation-X 1-17	0.4593861895392153	1.4337903284431492	-0.1158712707333833
Translation-Y 1-17	0.8895675625060463	1.9493226739052836	-0.0001887566916454475
Translation-Z 1-17	-1.0910389338033237	-2.121703473021419	0.006308031532147495
Rotation-A 1-17	-1.0158049968460428	-1.708659957132368	-0.00011464987724970004
Rotation-B 1-17	-1.7186920003809294	-2.6907482624230745	0.051031404059732
Rotation-C 1-17	0.43889982677360095	1.0236931559945723	6.443581519034585e-05
Distance 1-2	1.5177899122793361	1.3434838436231111	1.3369570312936225
Distance 1-5	1.0850761141033303	1.079268728378295	1.079020974499997
Distance 1-9	1.5400785214862842	1.4985009388364712	1.496107559012473
Distance 1-12	1.5544068449774504	2.777725654261904	3.5806680963653212
Distance 2-3	1.3315552318774462	1.4660155602936131	1.4712712546107147
Distance 2-6	1.080070300555336	1.0789459885155193	1.0797803354998614
Distance 3-4	1.5191418225121487	1.342888720912913	1.3372246946808097
Distance 3-7	1.080056844703681	1.077474912854004	1.0797898865724502
Distance 4-8	1.0853443976460864	1.0787558706941225	1.078893352522323
Distance 4-9	1.5401185399956157	1.4985706250900248	1.4962301057392022
Distance 4-13	1.5560770968121498	2.7525058233573576	3.6356938602338804
Distance 9-10	1.087479491000333	1.095648326794622	1.0921557521092387
Distance 9-11	1.090860731953831	1.090448974167437	1.0964112779262356
Distance 12-13	1.5506996997772913	1.3262291574991767	1.320016712242031
Distance 12-14	1.0884359198505664	1.0831466366617135	1.0818506979412887
Distance 12-15	1.0864418653761818	1.0788141390041617	1.0814151983485634
Distance 13-16	1.086834222406433	1.0764703269680165	1.0817189393676598
Distance 13-17	1.0880948395546775	1.08089314967774	1.0823532633077724
Angle 2-1-5	2.0244736078774705	2.2081862416158646	2.2155621151707834
Angle 2-1-9	1.7500386085743047	1.893118716979745	1.908796575195711
Angle 2-1-12	1.860246619926591	1.675951112236319	1.514735455443776
Angle 5-1-9	2.0532377494442353	2.1645485704328244	2.158641768606051
Angle 5-1-12	1.994299975609282	1.7177677069522728	1.6661168961991961
Angle 9-1-12	1.744420338926859	1.4708535316840303	1.4977631774915634
Angle 1-2-6	2.178122619221168	2.2056409017802165	2.1974074873191696
Angle 3-2-6	2.2231515852480563	2.1713718708757304	2.1819400501239987
Angle 2-3-7	2.223394714727265	2.172499726699378	2.1820371850134146
Angle 4-3-7	2.1797692891181395	2.2079899771319433	2.198082554611542
Angle 3-4-8	2.027275474377012	2.213665324981756	2.2160392689381867
Angle 3-4-9	1.7489241163483003	1.8958299133674443	1.9090020504265028
Angle 3-4-13	1.851367793464612	1.6213617556655633	1.4740413024562857
Angle 8-4-9	2.052013041438049	2.158680223677357	2.158034704385895
Angle 8-4-13	1.9935268470421417	1.7323965233525638	1.7518410088502767
Angle 9-4-13	1.753625525553335	1.4975897529366635	1.4441098358845577
Angle 1-9-4	1.6327457516462534	1.7932440812271675	1.800231803008164
Angle 1-9-10	1.9676333236053576	1.891962913824339	1.9626458243525076
Angle 1-9-11	1.9775693658885551	2.0093429396857845	1.9446278509894348
Angle 4-9-10	1.9669455328884826	1.8902683519527712	1.9618325400290646
Angle 4-9-11	1.9778252887413326	2.0086247539435966	1.9452787539716438
Angle 10-9-11	1.9263956656171626	1.8655694774541713	1.852005299531571
Angle 1-12-13	1.797992586896809	1.7243679749737928	1.6820415843122387
Angle 1-12-14	1.916377804962476	1.5768700947710446	1.47955580278533
Angle 1-12-15	1.950504266201734	1.5562935982022057	1.5215333133749611
Angle 13-12-14	1.93939889609987	2.1340354370464367	2.1179580436170493
Angle 13-12-15	1.9693664810405556	2.118053489233535	2.126247352772216
Angle 14-12-15	1.8894869705690196	2.0177677169105235	2.0386543618881747
Angle 4-13-12	1.7933231241700596	1.7806581768422165	1.7434121918559395
Angle 4-13-16	1.9432797488103868	1.570201513585198	1.5194365198006945
Angle 4-13-17	1.929073395653227	1.4815178095010701	1.4217253352980272
Angle 12-13-16	1.9664863189442148	2.115136691647797	2.127171283712306
Angle 12-13-17	1.9437801350112065	2.134840464673083	2.1177054310219887
Angle 16-13-17	1.8876455293736973	2.023490305298647	2.0380875406375774
Out-of-Plane 2-1-3-6	-0.044516953369027445	-0.025737406571940458	-0.00778273695519359
